feature,importance
clab_srte4_r2__eth1__rx_mbps__lag1,3.6445658520801353e-06
clab_srte4_r3__eth2__rx_mbps__rollmean5,3.5104122644567925e-06
clab_srte4_r1__eth2__rx_mbps__rollstd3,3.24744770670725e-06
clab_srte4_r3__eth2__is_hot_link__rollmean5,3.0804083921538954e-06
clab_srte4_r3__eth2__is_hot_link__rollmean3,3.0673662336564894e-06
clab_srte4_r3__eth1__tx_mbps__rollstd3,2.880772564656863e-06
clab_srte4_r3__eth2__rx_mbps,2.7634292145555642e-06
clab_srte4_r1__eth2__is_hot_link,2.7377002884750443e-06
clab_srte4_r2__eth2__tx_mbps__rollmean3,2.5654584327891046e-06
clab_srte4_r4__eth2__tx_mbps__rollmean3,2.431250082261607e-06
clab_srte4_r3__eth2__is_hot_link__rollstd3,2.026669129884578e-06
clab_srte4_r3__eth1__tx_mbps__rollmean10,5.830570381171189e-07
clab_srte4_r1__eth2__is_hot_link__rollstd3,5.105242135101675e-07
clab_srte4_r3__eth2__rx_mbps__rollmean10,4.9199626839726e-07
clab_srte4_r1__eth2__is_hot_link__lag3,2.72188336943892e-07
clab_srte4_r3__eth2__is_hot_link__lag10,1.1773516881989693e-07
clab_srte4_r2__eth1__rx_mbps__rollstd3,9.310153894732267e-08
clab_srte4_r1__eth2__is_hot_link__lag2,6.85511715504717e-08
clab_srte4_r1__eth2__is_hot_link__lag1,4.864312851446855e-08
clab_srte4_r3__eth2__is_hot_link__lag1,4.83420325846458e-08
clab_srte4_r1__eth1__tx_mbps__rollmean5,4.41924477233957e-08
clab_srte4_r3__eth1__tx_mbps__rollstd5,3.7838213023231635e-08
clab_srte4_r3__eth2__is_hot_link__lag2,1.8891281061404053e-08
clab_srte4_r1__eth2__rx_mbps__rollmean10,8.927419854799788e-09
ping_loss_pct__rollmean10,0.0
ping_loss_pct__rollstd5,0.0
ping_loss_pct__rollmean5,0.0
clab_srte4_r3__eth1__is_hot_link__lag1,0.0
clab_srte4_r2__eth2__tx_mbps__lag5,0.0
clab_srte4_r2__eth2__util_pct__lag1,0.0
clab_srte4_r2__eth2__util_pct__lag2,0.0
clab_srte4_r2__eth2__tx_mbps__lag2,0.0
clab_srte4_r2__eth2__util_pct__lag3,0.0
clab_srte4_r2__eth2__util_pct__lag5,0.0
clab_srte4_r2__eth2__is_hot_link__lag1,0.0
clab_srte4_r3__eth1__tx_mbps__lag5,0.0
clab_srte4_r3__eth1__util_pct__lag1,0.0
clab_srte4_r3__eth1__util_pct__lag2,0.0
clab_srte4_r3__eth1__util_pct__lag3,0.0
clab_srte4_r3__eth1__is_hot_link__lag5,0.0
clab_srte4_r2__eth2__is_hot_link__lag10,0.0
clab_srte4_r2__eth2__is_hot_link__lag5,0.0
clab_srte4_r2__eth2__is_hot_link__lag3,0.0
clab_srte4_r3__eth1__is_hot_link,0.0
clab_srte4_r2__eth2__is_hot_link,0.0
clab_srte4_r3__eth1__util_pct,0.0
clab_srte4_r2__eth1__is_hot_link,0.0
clab_srte4_r2__eth2__util_pct,0.0
clab_srte4_r3__eth2__rx_mbps__lag5,0.0
clab_srte4_r3__eth2__rx_mbps__lag2,0.0
clab_srte4_r3__eth1__tx_mbps__lag1,0.0
ping_loss_pct__rollstd10,0.0
clab_srte4_r3__eth1__is_hot_link__lag10,0.0
clab_srte4_r3__eth2__rx_mbps__lag1,0.0
clab_srte4_r3__eth1__is_hot_link__lag3,0.0
clab_srte4_r3__eth1__is_hot_link__lag2,0.0
clab_srte4_r3__eth1__util_pct__lag5,0.0
clab_srte4_r3__eth1__util_pct__lag10,0.0
clab_srte4_r2__eth2__tx_mbps__lag1,0.0
clab_srte4_r4__eth2__util_pct__rollmean3,0.0
clab_srte4_r4__eth1__rx_mbps__rollstd5,0.0
ping_loss_pct__lag3,0.0
clab_srte4_r4__eth2__util_pct__rollmean10,0.0
clab_srte4_r4__eth2__util_pct__rollstd10,0.0
clab_srte4_r4__eth2__util_pct__rollstd5,0.0
clab_srte4_r4__eth2__util_pct__rollmean5,0.0
clab_srte4_r4__eth2__util_pct__rollstd3,0.0
clab_srte4_r4__eth2__tx_mbps__rollstd10,0.0
clab_srte4_r1__eth1__is_hot_link,0.0
clab_srte4_r1__eth1__util_pct,0.0
clab_srte4_r4__eth2__tx_mbps__rollmean5,0.0
ping_loss_pct,0.0
clab_srte4_r4__eth2__is_hot_link__lag10,0.0
clab_srte4_r4__eth2__is_hot_link__lag5,0.0
clab_srte4_r4__eth2__is_hot_link__lag3,0.0
clab_srte4_r4__eth2__is_hot_link__lag2,0.0
clab_srte4_r4__eth2__is_hot_link__lag1,0.0
clab_srte4_r4__eth2__util_pct__lag10,0.0
clab_srte4_r4__eth2__util_pct__lag5,0.0
clab_srte4_r4__eth2__util_pct__lag3,0.0
clab_srte4_r1__eth2__is_hot_link__rollmean3,0.0
clab_srte4_r2__eth1__is_hot_link__lag10,0.0
clab_srte4_r2__eth1__is_hot_link__lag5,0.0
clab_srte4_r2__eth1__is_hot_link__lag3,0.0
clab_srte4_r2__eth1__is_hot_link__lag1,0.0
clab_srte4_r2__eth1__is_hot_link__lag2,0.0
clab_srte4_r1__eth2__rx_mbps__rollstd10,0.0
clab_srte4_r1__eth1__is_hot_link__rollmean10,0.0
clab_srte4_r1__eth1__util_pct__rollstd3,0.0
clab_srte4_r1__eth1__is_hot_link__rollstd10,0.0
clab_srte4_r1__eth1__is_hot_link__rollmean5,0.0
clab_srte4_r1__eth1__is_hot_link__rollstd5,0.0
clab_srte4_r1__eth1__is_hot_link__rollstd3,0.0
clab_srte4_r1__eth1__is_hot_link__rollmean3,0.0
clab_srte4_r1__eth1__util_pct__rollmean10,0.0
clab_srte4_r1__eth1__util_pct__rollstd10,0.0
clab_srte4_r1__eth1__util_pct__rollstd5,0.0
clab_srte4_r1__eth1__util_pct__rollmean3,0.0
clab_srte4_r1__eth1__util_pct__rollmean5,0.0
clab_srte4_r2__eth2__util_pct__lag10,0.0
clab_srte4_r2__eth2__is_hot_link__lag2,0.0
clab_srte4_r1__eth2__is_hot_link__lag5,0.0
clab_srte4_r2__eth1__rx_mbps__lag2,0.0
ping_loss_pct__rollmean3,0.0
clab_srte4_r4__eth1__is_hot_link__lag1,0.0
clab_srte4_r2__eth1__is_hot_link__rollstd5,0.0
clab_srte4_r2__eth1__is_hot_link__rollmean5,0.0
clab_srte4_r2__eth1__is_hot_link__rollstd3,0.0
clab_srte4_r2__eth1__is_hot_link__rollmean3,0.0
clab_srte4_r1__eth2__rx_mbps__lag5,0.0
clab_srte4_r4__eth1__is_hot_link__lag5,0.0
clab_srte4_r4__eth1__is_hot_link__lag2,0.0
clab_srte4_r4__eth2__tx_mbps__lag5,0.0
clab_srte4_r4__eth2__util_pct__lag1,0.0
clab_srte4_r2__eth1__is_hot_link__rollmean10,0.0
clab_srte4_r4__eth2__util_pct__lag2,0.0
clab_srte4_r4__eth1__is_hot_link__lag10,0.0
clab_srte4_r4__eth2__tx_mbps__lag1,0.0
clab_srte4_r4__eth2__tx_mbps__lag2,0.0
clab_srte4_r4__eth1__is_hot_link__lag3,0.0
clab_srte4_r2__eth2__util_pct__rollmean3,0.0
clab_srte4_r2__eth2__tx_mbps__rollmean10,0.0
clab_srte4_r1__eth2__is_hot_link__rollmean5,0.0
ping_reply_count__rollstd5,0.0
clab_srte4_r1__eth1__is_hot_link__lag3,0.0
clab_srte4_r1__eth1__is_hot_link__lag5,0.0
clab_srte4_r1__eth1__is_hot_link__lag10,0.0
clab_srte4_r1__eth1__is_hot_link__lag2,0.0
clab_srte4_r1__eth2__rx_mbps__lag1,0.0
clab_srte4_r1__eth2__rx_mbps__lag2,0.0
ping_reply_count__rollstd10,0.0
ping_reply_count__rollmean10,0.0
